venue,batting_team,bowler,innings,avg_wickets_20,avg_runs_6,avg_wickets_6,min_wickets_6,max_wickets_6
Eden Gardens,Kolkata Knight Riders,Jaskaran Singh,18,2,10,0,0,0
Eden Gardens,Kolkata Knight Riders,K Gowtham,42,1,20,1,0,2
Eden Gardens,Kolkata Knight Riders,K Khejroliya,54,0,,,,
Eden Gardens,Kolkata Knight Riders,K Rabada,66,2,16.5,0.5,0,1
Eden Gardens,Kolkata Knight Riders,KA Pollard,74,0.666666667,,,,
Eden Gardens,Kolkata Knight Riders,KAJ Roach,26,0,10,0,0,0
Eden Gardens,Kolkata Knight Riders,KH Pandya,80,1,11.5,0.5,0,1
Eden Gardens,Kolkata Knight Riders,KK Ahmed,38,0,25,0,0,0
Eden Gardens,Kolkata Knight Riders,KM Asif,38,1,11,1,1,1
Eden Gardens,Kolkata Knight Riders,KMA Paul,25,2,,,,
Eden Gardens,Kolkata Knight Riders,KP Appanna,20,0,16,0,0,0
Eden Gardens,Kolkata Knight Riders,KS Williamson,6,0,7,0,0,0
Eden Gardens,Kolkata Knight Riders,KV Sharma,151,1.5,9,1,1,1
Eden Gardens,Kolkata Knight Riders,Kamran Khan,28,2,13,2,2,2
Eden Gardens,Kolkata Knight Riders,Karanveer Singh,25,3,,,,
Eden Gardens,Kolkata Knight Riders,L Balaji,54,2,5,1,1,1
Eden Gardens,Kolkata Knight Riders,L Ngidi,38,1,26,1,1,1
Eden Gardens,Kolkata Knight Riders,M Ashwin,16,0,13,0,0,0
Eden Gardens,Kolkata Knight Riders,M Kartik,26,1,13,0,0,0
Eden Gardens,Kolkata Knight Riders,M Markande,48,1,,,,
Eden Gardens,Kolkata Knight Riders,M Morkel,18,4,12,2,2,2
Eden Gardens,Kolkata Knight Riders,M Muralitharan,137,0.5,10,0,0,0
Eden Gardens,Kolkata Knight Riders,M Ntini,25,4,20,2,2,2
Eden Gardens,Kolkata Knight Riders,MA Starc,25,1,12,1,1,1
Eden Gardens,Kolkata Knight Riders,MC Henriques,43,0.333333333,10,0,0,0
Eden Gardens,Kolkata Knight Riders,MF Maharoof,43,1,17,0,0,0
Eden Gardens,Kolkata Knight Riders,MG Johnson,101,1.666666667,19,1,1,1
Eden Gardens,Kolkata Knight Riders,MJ Clarke,12,0,,,,
Eden Gardens,Kolkata Knight Riders,MJ McClenaghan,61,1.5,16,1,1,1
Eden Gardens,Kolkata Knight Riders,MJ Santner,26,1,5,1,1,1
Eden Gardens,Kolkata Knight Riders,MM Ali,12,1,,,,
Eden Gardens,Kolkata Knight Riders,MM Patel,72,1.5,13.5,1,1,1
Eden Gardens,Kolkata Knight Riders,MM Sharma,162,0.6,14.5,0.25,0,1
Eden Gardens,Kolkata Knight Riders,MP Stoinis,86,0.333333333,17,0,0,0
Eden Gardens,Kolkata Knight Riders,MS Gony,60,0.5,24,0.5,0,1
Eden Gardens,Kolkata Knight Riders,Mandeep Singh,6,0,,,,
Eden Gardens,Kolkata Knight Riders,Mohammed Shami,50,1,9,1,1,1
Eden Gardens,Kolkata Knight Riders,Mohammed Siraj,54,0,4,0,0,0
Eden Gardens,Kolkata Knight Riders,Mujeeb Ur Rahman,25,2,20,1,1,1
Eden Gardens,Kolkata Knight Riders,Mustafizur Rahman,25,1,,,,
Eden Gardens,Kolkata Knight Riders,NA Saini,48,1,7,1,1,1
Eden Gardens,Kolkata Knight Riders,NLTC Perera,26,0,11,0,0,0
Eden Gardens,Kolkata Knight Riders,NM Coulter-Nile,48,0,13,0,0,0
Eden Gardens,Kolkata Knight Riders,O Thomas,25,1,17,0,0,0
Eden Gardens,Kolkata Knight Riders,P Awana,24,1,13,0,0,0
Eden Gardens,Kolkata Knight Riders,P Kumar,234,0.625,12.875,0.25,0,2
Eden Gardens,Kolkata Knight Riders,P Negi,69,1.5,,,,
Eden Gardens,Kolkata Knight Riders,PC Valthaty,24,0,,,,
Eden Gardens,Kolkata Knight Riders,PD Collingwood,13,0,,,,
Eden Gardens,Kolkata Knight Riders,PJ Cummins,36,0,6,0,0,0
Eden Gardens,Kolkata Knight Riders,PJ Sangwan,46,1,17.5,0.5,0,1
Eden Gardens,Kolkata Knight Riders,PP Chawla,200,1,,,,
Eden Gardens,Kolkata Knight Riders,PP Ojha,187,1.166666667,9,0.5,0,1
Eden Gardens,Kolkata Knight Riders,PV Tambe,12,0,,,,
Eden Gardens,Kolkata Knight Riders,Parvez Rasool,12,0,,,,
Eden Gardens,Kolkata Knight Riders,R Ashwin,258,1.125,14.8,0.8,0,2
Eden Gardens,Kolkata Knight Riders,R Bhatia,25,1,,,,
Eden Gardens,Kolkata Knight Riders,R Dhawan,24,0,13,0,0,0
Eden Gardens,Kolkata Knight Riders,R McLaren,38,0,17,0,0,0
Eden Gardens,Kolkata Knight Riders,R Parag,6,0,,,,
Eden Gardens,Kolkata Knight Riders,R Sathish,26,1,,,,
Eden Gardens,Kolkata Knight Riders,R Tewatia,18,3,,,,
Eden Gardens,Kolkata Knight Riders,R Vinay Kumar,173,1.6,8,0.25,0,1
Eden Gardens,Kolkata Knight Riders,RA Jadeja,277,0.888888889,14,0.5,0,1
Eden Gardens,Kolkata Knight Riders,RD Chahar,25,1,,,,
Eden Gardens,Kolkata Knight Riders,RE van der Merwe,73,2.5,6,1,1,1
Eden Gardens,Kolkata Knight Riders,RG More,48,1,,,,
Eden Gardens,Kolkata Knight Riders,RG Sharma,13,0,,,,
Eden Gardens,Kolkata Knight Riders,RJ Harris,26,0,5,0,0,0
Eden Gardens,Kolkata Knight Riders,RP Singh,84,1.5,10.5,1,1,1
Eden Gardens,Kolkata Knight Riders,RR Powar,99,0.333333333,9.5,0,0,0
Eden Gardens,Kolkata Knight Riders,RS Bopara,20,1,,,,
Eden Gardens,Kolkata Knight Riders,RW Price,18,0,14,0,0,0
Eden Gardens,Kolkata Knight Riders,Rashid Khan,144,1.25,9.5,0.5,0,1
Eden Gardens,Kolkata Knight Riders,S Aravind,64,2,17.66666667,0,0,0
Eden Gardens,Kolkata Knight Riders,S Badree,24,1,18,0,0,0
Eden Gardens,Kolkata Knight Riders,S Gopal,42,1,,,,
Eden Gardens,Kolkata Knight Riders,S Kaul,120,1.333333333,13.66666667,0.333333333,0,1
Eden Gardens,Kolkata Knight Riders,S Kaushik,6,0,,,,
Eden Gardens,Kolkata Knight Riders,S Nadeem,84,1,25,0,0,0
Eden Gardens,Kolkata Knight Riders,S Randiv,26,0,,,,
Eden Gardens,Kolkata Knight Riders,S Sreesanth,48,2,21,2,2,2
Eden Gardens,Kolkata Knight Riders,SA Abbott,18,0,22,0,0,0
Eden Gardens,Kolkata Knight Riders,SB Bangar,40,0,,,,
Eden Gardens,Kolkata Knight Riders,SB Jakati,48,1,17,0,0,0
Eden Gardens,Kolkata Knight Riders,SB Styris,50,0,3,0,0,0
Eden Gardens,Kolkata Knight Riders,SJ Srivastava,20,0,23,0,0,0
Eden Gardens,Kolkata Knight Riders,SK Raina,48,0.25,11,1,1,1
Eden Gardens,Kolkata Knight Riders,SK Trivedi,130,0.2,,,,
Eden Gardens,Kolkata Knight Riders,SK Warne,104,0.333333333,4,0,0,0
Eden Gardens,Kolkata Knight Riders,SL Malinga,171,0.6,9.4,0.2,0,1
Eden Gardens,Kolkata Knight Riders,SM Pollock,24,2,13,2,2,2
Eden Gardens,Kolkata Knight Riders,SN Thakur,43,1.5,11,0,0,0
Eden Gardens,Kolkata Knight Riders,SR Watson,200,0.333333333,15.5,0.166666667,0,1
Eden Gardens,Kolkata Knight Riders,ST Jayasuriya,25,4,,,,
Eden Gardens,Kolkata Knight Riders,STR Binny,36,0.25,8.5,0.5,0,1
Eden Gardens,Kolkata Knight Riders,SW Tait,56,1,5,1,1,1
Eden Gardens,Kolkata Knight Riders,Sandeep Sharma,167,0.75,16.75,0,0,0
Eden Gardens,Kolkata Knight Riders,Shakib Al Hasan,107,1.666666667,13,1,1,1
Eden Gardens,Kolkata Knight Riders,Sohail Tanvir,25,3,9,0,0,0
Eden Gardens,Kolkata Knight Riders,Swapnil Singh,18,0,,,,
Eden Gardens,Kolkata Knight Riders,TA Boult,24,2,18,1,1,1
Eden Gardens,Kolkata Knight Riders,TG Southee,79,1,23.5,0.5,0,1
Eden Gardens,Kolkata Knight Riders,TM Dilshan,25,0,15,0,0,0
Eden Gardens,Kolkata Knight Riders,TS Mills,26,2,20,1,1,1
Eden Gardens,Kolkata Knight Riders,UT Yadav,104,1.333333333,7,0.666666667,0,1
Eden Gardens,Kolkata Knight Riders,V Kohli,10,0,,,,
Eden Gardens,Kolkata Knight Riders,V Sehwag,6,0,,,,
Eden Gardens,Kolkata Knight Riders,V Shankar,6,0,,,,
Eden Gardens,Kolkata Knight Riders,VR Aaron,78,1.666666667,12,1,0,2
Eden Gardens,Kolkata Knight Riders,VRV Singh,52,2,,,,
Eden Gardens,Kolkata Knight Riders,VY Mahesh,28,2,6,0,0,0
Eden Gardens,Kolkata Knight Riders,WD Parnell,26,0,17,0,0,0
Eden Gardens,Kolkata Knight Riders,WPUJC Vaas,36,2,10,2,2,2
Eden Gardens,Kolkata Knight Riders,Washington Sundar,62,1.5,24,1,0,2
Eden Gardens,Kolkata Knight Riders,Y Venugopal Rao,6,0,,,,
Eden Gardens,Kolkata Knight Riders,YK Pathan,54,0.5,12,0,0,0
Eden Gardens,Kolkata Knight Riders,YS Chahal,205,0.714285714,12,0,0,0
Eden Gardens,Kolkata Knight Riders,Yuvraj Singh,30,0.666666667,,,,
Eden Gardens,Kolkata Knight Riders,Z Khan,143,0.666666667,16.66666667,0.333333333,0,1
Eden Gardens,Mumbai Indians,A Nehra,24,1,19,1,1,1
Eden Gardens,Mumbai Indians,AB Agarkar,56,1,7,1,1,1
Eden Gardens,Mumbai Indians,AB Dinda,73,1.5,8,0.5,0,1
Eden Gardens,Mumbai Indians,AD Russell,128,0.75,11,0,0,0
Eden Gardens,Mumbai Indians,AS Rajpoot,18,1,,,,
Eden Gardens,Mumbai Indians,B Lee,77,0,23,0,0,0
Eden Gardens,Mumbai Indians,C de Grandhomme,14,0,10,0,0,0
Eden Gardens,Mumbai Indians,CH Morris,25,2,,,,
Eden Gardens,Mumbai Indians,DJ Bravo,49,3,,,,
Eden Gardens,Mumbai Indians,DJ Hussey,12,0,,,,
Eden Gardens,Mumbai Indians,DR Smith,12,1,,,,
Eden Gardens,Mumbai Indians,GB Hogg,50,1,13,1,1,1
Eden Gardens,Mumbai Indians,HF Gurney,48,2,13,1,1,1
Eden Gardens,Mumbai Indians,I Sharma,44,1,27,1,1,1
Eden Gardens,Mumbai Indians,Iqbal Abdulla,96,0.5,13,0.5,0,1
Eden Gardens,Mumbai Indians,JA Morkel,18,2,14,2,2,2
Eden Gardens,Mumbai Indians,JD Unadkat,24,1,7,0,0,0
Eden Gardens,Mumbai Indians,JH Kallis,26,0,,,,
Eden Gardens,Mumbai Indians,JP Faulkner,52,1,21,0,0,0
Eden Gardens,Mumbai Indians,JW Hastings,52,0,23,0,0,0
Eden Gardens,Mumbai Indians,KK Cooper,50,2,,,,
Eden Gardens,Mumbai Indians,Kuldeep Yadav,86,0.666666667,,,,
Eden Gardens,Mumbai Indians,L Balaji,88,0.5,15,0,0,0
Eden Gardens,Mumbai Indians,LR Shukla,12,0,,,,
Eden Gardens,Mumbai Indians,M Kartik,62,1,,,,
Eden Gardens,Mumbai Indians,M Morkel,24,2,12,2,2,2
Eden Gardens,Mumbai Indians,M Prasidh Krishna,25,1,15,0,0,0
Eden Gardens,Mumbai Indians,MK Tiwary,7,1,,,,
Eden Gardens,Mumbai Indians,MM Sharma,48,1,18,0.5,0,1
Eden Gardens,Mumbai Indians,Mohammad Hafeez,14,0,,,,
Eden Gardens,Mumbai Indians,P Negi,12,0,,,,
Eden Gardens,Mumbai Indians,PP Chawla,122,1.25,10,1,1,1
Eden Gardens,Mumbai Indians,R Ashwin,32,0,12,0,0,0
Eden Gardens,Mumbai Indians,R Bhatia,118,1.333333333,,,,
Eden Gardens,Mumbai Indians,RA Jadeja,24,0,14,0,0,0
Eden Gardens,Mumbai Indians,S Sandeep Warrier,48,0,24,0,0,0
Eden Gardens,Mumbai Indians,SC Ganguly,30,0,13,0,0,0
Eden Gardens,Mumbai Indians,SE Bond,24,2,10,2,2,2
Eden Gardens,Mumbai Indians,SK Trivedi,48,1,,,,
Eden Gardens,Mumbai Indians,SMSM Senanayake,48,1,12,0,0,0
Eden Gardens,Mumbai Indians,SP Narine,193,1,5,0.4,0,1
Eden Gardens,Mumbai Indians,SR Watson,34,1,11,0,0,0
Eden Gardens,Mumbai Indians,STR Binny,12,1,,,,
Eden Gardens,Mumbai Indians,Shakib Al Hasan,102,0.666666667,10.66666667,0.666666667,0,1
Eden Gardens,Mumbai Indians,TA Boult,26,2,8,1,1,1
Eden Gardens,Mumbai Indians,TK Curran,20,1,11,0,0,0
Eden Gardens,Mumbai Indians,UT Yadav,42,0.5,21,0,0,0
Eden Gardens,Mumbai Indians,VS Malik,50,0,13,0,0,0
Eden Gardens,Mumbai Indians,YK Pathan,12,0,,,,
Eden Gardens,Pune Warriors,Iqbal Abdulla,50,1,21,0,0,0
Eden Gardens,Pune Warriors,JH Kallis,26,1,,,,
Eden Gardens,Pune Warriors,M de Lange,54,3,24,2,2,2
Eden Gardens,Pune Warriors,R Bhatia,48,1,,,,
Eden Gardens,Pune Warriors,SP Narine,48,2,,,,
Eden Gardens,Pune Warriors,YK Pathan,26,0,,,,
Eden Gardens,Punjab Kings,AB Agarkar,36,0,,,,
Eden Gardens,Punjab Kings,AB Dinda,12,1,,,,
Eden Gardens,Punjab Kings,AD Mathews,36,0,,,,
Eden Gardens,Punjab Kings,AD Russell,133,2.25,13.5,0.75,0,2
Eden Gardens,Punjab Kings,B Lee,25,1,15,0,0,0
Eden Gardens,Punjab Kings,BAW Mendis,24,1,13,0,0,0
Eden Gardens,Punjab Kings,C de Grandhomme,14,1,,,,
Eden Gardens,Punjab Kings,CH Gayle,12,0,17,0,0,0
Eden Gardens,Punjab Kings,CR Woakes,20,2,15,0,0,0
Eden Gardens,Punjab Kings,DJ Hussey,36,0,,,,
Eden Gardens,Punjab Kings,GB Hogg,49,0,,,,
Eden Gardens,Punjab Kings,I Sharma,27,0,26,0,0,0
Eden Gardens,Punjab Kings,Iqbal Abdulla,24,3,10,1,1,1
Eden Gardens,Punjab Kings,J Botha,6,0,9,0,0,0
Eden Gardens,Punjab Kings,JD Unadkat,46,0,24,0,0,0
Eden Gardens,Punjab Kings,JH Kallis,48,1,13,0,0,0
Eden Gardens,Punjab Kings,Kuldeep Yadav,64,0,,,,
Eden Gardens,Punjab Kings,L Balaji,42,0.5,11,0,0,0
Eden Gardens,Punjab Kings,LH Ferguson,52,1,12,1,1,1
Eden Gardens,Punjab Kings,LR Shukla,13,0,,,,
Eden Gardens,Punjab Kings,M Kartik,50,1,8,1,1,1
Eden Gardens,Punjab Kings,M Morkel,100,1.5,19.5,1,1,1
Eden Gardens,Punjab Kings,M Prasidh Krishna,50,0,32,0,0,0
Eden Gardens,Punjab Kings,MK Tiwary,7,0,,,,
Eden Gardens,Punjab Kings,N Rana,2,0,0,0,0,0
Eden Gardens,Punjab Kings,PP Chawla,194,0.833333333,7.5,0.5,0,1
Eden Gardens,Punjab Kings,R Bhatia,61,1.666666667,,,,
Eden Gardens,Punjab Kings,S Ladda,12,1,,,,
Eden Gardens,Punjab Kings,SE Bond,50,1,20,0,0,0
Eden Gardens,Punjab Kings,SMSM Senanayake,24,0,20,0,0,0
Eden Gardens,Punjab Kings,SP Narine,208,1.714285714,7.333333333,0.5,0,2
Eden Gardens,Punjab Kings,Shakib Al Hasan,108,1,15,0,0,0
Eden Gardens,Punjab Kings,Shivam Mavi,40,0,26,0,0,0
Eden Gardens,Punjab Kings,TA Boult,24,0,19,0,0,0
Eden Gardens,Punjab Kings,TK Curran,2,0,,,,
Eden Gardens,Punjab Kings,UT Yadav,140,1.75,11.25,0.25,0,1
Eden Gardens,Punjab Kings,Umar Gul,26,4,8,1,1,1
Eden Gardens,Punjab Kings,YK Pathan,31,0.5,7.5,0.5,0,1
Eden Gardens,Rajasthan Royals,AB Agarkar,36,0,16,0,0,0
Eden Gardens,Rajasthan Royals,AB Dinda,72,1.5,10.5,0,0,0
Eden Gardens,Rajasthan Royals,AD Russell,90,1,8.666666667,0.333333333,0,1
Eden Gardens,Rajasthan Royals,B Lee,15,1,11,0,0,0
Eden Gardens,Rajasthan Royals,CR Brathwaite,30,0,5,0,0,0
Eden Gardens,Rajasthan Royals,Harbhajan Singh,25,3,,,,
Eden Gardens,Rajasthan Royals,I Sharma,36,1,17,1,1,1
Eden Gardens,Rajasthan Royals,Iqbal Abdulla,37,1.5,2,1,1,1
Eden Gardens,Rajasthan Royals,JD Unadkat,24,3,14,0,0,0
Eden Gardens,Rajasthan Royals,JH Kallis,38,0.5,26,0,0,0
Eden Gardens,Rajasthan Royals,JPR Scantlebury-Searles,12,0,,,,
Eden Gardens,Rajasthan Royals,KA Pollard,6,2,,,,
Eden Gardens,Rajasthan Royals,Kuldeep Yadav,72,2.5,,,,
Eden Gardens,Rajasthan Royals,L Balaji,45,1.5,11.5,0.5,0,1
Eden Gardens,Rajasthan Royals,LR Shukla,36,0.5,,,,
Eden Gardens,Rajasthan Royals,M Kartik,24,1,8,0,0,0
Eden Gardens,Rajasthan Royals,M Prasidh Krishna,114,1.333333333,16,0,0,0
Eden Gardens,Rajasthan Royals,MG Johnson,19,0,23,0,0,0
Eden Gardens,Rajasthan Royals,N Rana,12,0,,,,
Eden Gardens,Rajasthan Royals,PP Chawla,96,2.5,10,1,1,1
Eden Gardens,Rajasthan Royals,PP Ojha,24,0,12,0,0,0
Eden Gardens,Rajasthan Royals,R Bhatia,43,0.666666667,,,,
Eden Gardens,Rajasthan Royals,R Dhawan,24,0,7,0,0,0
Eden Gardens,Rajasthan Royals,S Narwal,14,0,17,0,0,0
Eden Gardens,Rajasthan Royals,SC Ganguly,24,1,,,,
Eden Gardens,Rajasthan Royals,SE Bond,25,1,12,0,0,0
Eden Gardens,Rajasthan Royals,SL Malinga,27,1,,,,
Eden Gardens,Rajasthan Royals,SMSM Senanayake,26,2,15,1,1,1
Eden Gardens,Rajasthan Royals,SP Narine,171,1,12,0.25,0,1
Eden Gardens,Rajasthan Royals,Shakib Al Hasan,48,2.5,9,0,0,0
Eden Gardens,Rajasthan Royals,Shivam Mavi,24,1,30,0,0,0
Eden Gardens,Rajasthan Royals,Umar Gul,48,2,0,2,2,2
Eden Gardens,Rajasthan Royals,Y Prithvi Raj,26,0,17,0,0,0
Eden Gardens,Rajasthan Royals,YK Pathan,33,1,,,,
Eden Gardens,Rising Pune Supergiant,AD Russell,12,1,12,1,1,1
Eden Gardens,Rising Pune Supergiant,AS Rajpoot,13,1,,,,
Eden Gardens,Rising Pune Supergiant,C de Grandhomme,4,0,,,,
Eden Gardens,Rising Pune Supergiant,CR Woakes,48,3,12,1,1,1
Eden Gardens,Rising Pune Supergiant,Kuldeep Yadav,48,1,,,,
Eden Gardens,Rising Pune Supergiant,M Morkel,19,0,22,0,0,0
Eden Gardens,Rising Pune Supergiant,NM Coulter-Nile,40,0,41,0,0,0
Eden Gardens,Rising Pune Supergiant,PP Chawla,24,2,,,,
Eden Gardens,Rising Pune Supergiant,SP Narine,70,1,,,,
Eden Gardens,Rising Pune Supergiant,Shakib Al Hasan,18,1,3,1,1,1
Eden Gardens,Rising Pune Supergiant,UT Yadav,48,1,21,1,1,1
Eden Gardens,Royal Challengers Bangalore,AB Dinda,38,0,12,0,0,0
Eden Gardens,Royal Challengers Bangalore,AD Mathews,24,4,2,1,1,1
Eden Gardens,Royal Challengers Bangalore,AD Russell,84,0.25,24,0,0,0
Eden Gardens,Royal Challengers Bangalore,AS Rajpoot,38,0,,,,
Eden Gardens,Royal Challengers Bangalore,B Lee,50,0,16,0,0,0
Eden Gardens,Royal Challengers Bangalore,BJ Hodge,6,0,,,,
Eden Gardens,Royal Challengers Bangalore,C de Grandhomme,20,3,,,,
Eden Gardens,Royal Challengers Bangalore,CK Langeveldt,24,1,9,1,1,1
Eden Gardens,Royal Challengers Bangalore,CR Woakes,26,3,,,,
Eden Gardens,Royal Challengers Bangalore,HF Gurney,27,1,7,0,0,0
Eden Gardens,Royal Challengers Bangalore,I Sharma,73,0.5,7,0.5,0,1
Eden Gardens,Royal Challengers Bangalore,Iqbal Abdulla,26,0,,,,
Eden Gardens,Royal Challengers Bangalore,JD Unadkat,36,0,18,0,0,0
Eden Gardens,Royal Challengers Bangalore,JH Kallis,52,2,3,2,2,2
Eden Gardens,Royal Challengers Bangalore,KC Cariappa,24,1,12,0,0,0
Eden Gardens,Royal Challengers Bangalore,Kuldeep Yadav,44,0.5,17,0,0,0
Eden Gardens,Royal Challengers Bangalore,L Balaji,54,1,20,0,0,0
Eden Gardens,Royal Challengers Bangalore,LR Shukla,24,0.5,,,,
Eden Gardens,Royal Challengers Bangalore,M Kartik,49,1.5,6,1,1,1
Eden Gardens,Royal Challengers Bangalore,M Morkel,120,0.666666667,18.66666667,0.333333333,0,1
Eden Gardens,Royal Challengers Bangalore,M Prasidh Krishna,24,0,22,0,0,0
Eden Gardens,Royal Challengers Bangalore,MG Johnson,24,1,,,,
Eden Gardens,Royal Challengers Bangalore,MK Tiwary,12,0,,,,
Eden Gardens,Royal Challengers Bangalore,N Rana,6,2,,,,
Eden Gardens,Royal Challengers Bangalore,NM Coulter-Nile,42,3,22,3,3,3
Eden Gardens,Royal Challengers Bangalore,PP Chawla,80,0.25,15.5,0.5,0,1
Eden Gardens,Royal Challengers Bangalore,R Bhatia,72,0.5,,,,
Eden Gardens,Royal Challengers Bangalore,R Vinay Kumar,60,1,14,0,0,0
Eden Gardens,Royal Challengers Bangalore,RS Gavaskar,6,0,,,,
Eden Gardens,Royal Challengers Bangalore,SC Ganguly,48,0.5,3,0,0,0
Eden Gardens,Royal Challengers Bangalore,SP Narine,241,1.333333333,7.6,0.2,0,1
Eden Gardens,Royal Challengers Bangalore,Shakib Al Hasan,152,0.5,11,0,0,0
Eden Gardens,Royal Challengers Bangalore,UT Yadav,86,1,15.5,1,1,1
Eden Gardens,Royal Challengers Bangalore,Umar Gul,40,1,13,1,1,1
Eden Gardens,Royal Challengers Bangalore,YK Pathan,132,1,11.5,0.5,0,1
Eden Gardens,Sunrisers Hyderabad,AD Russell,84,0.75,9.333333333,0,0,0
Eden Gardens,Sunrisers Hyderabad,AS Rajpoot,36,1,17,0,0,0
Eden Gardens,Sunrisers Hyderabad,C Munro,12,0,,,,
Eden Gardens,Sunrisers Hyderabad,CR Woakes,54,2,,,,
Eden Gardens,Sunrisers Hyderabad,GB Hogg,48,2,3,1,1,1
Eden Gardens,Sunrisers Hyderabad,J Botha,50,1,7,0,0,0
Eden Gardens,Sunrisers Hyderabad,JH Kallis,50,3,,,,
Eden Gardens,Sunrisers Hyderabad,JO Holder,38,0,,,,
Eden Gardens,Sunrisers Hyderabad,Kuldeep Yadav,182,1.6,6,0,0,0
Eden Gardens,Sunrisers Hyderabad,L Balaji,48,0,20,0,0,0
Eden Gardens,Sunrisers Hyderabad,LH Ferguson,24,0,9,0,0,0
Eden Gardens,Sunrisers Hyderabad,M Morkel,26,1,23,1,1,1
Eden Gardens,Sunrisers Hyderabad,M Prasidh Krishna,54,0.5,13.5,0,0,0
Eden Gardens,Sunrisers Hyderabad,MG Johnson,44,1,22,0,0,0
Eden Gardens,Sunrisers Hyderabad,N Rana,6,0,,,,
Eden Gardens,Sunrisers Hyderabad,PP Chawla,132,1.25,13.5,0,0,0
Eden Gardens,Sunrisers Hyderabad,R Bhatia,50,2,,,,
Eden Gardens,Sunrisers Hyderabad,R Vinay Kumar,25,2,18,0,0,0
Eden Gardens,Sunrisers Hyderabad,RN ten Doeschate,20,1,,,,
Eden Gardens,Sunrisers Hyderabad,SMSM Senanayake,50,1,15,0,0,0
Eden Gardens,Sunrisers Hyderabad,SP Narine,260,1.142857143,7.857142857,0.428571429,0,2
Eden Gardens,Sunrisers Hyderabad,Shakib Al Hasan,76,2,11,0,0,0
Eden Gardens,Sunrisers Hyderabad,Shivam Mavi,37,0.5,21,0,0,0
Eden Gardens,Sunrisers Hyderabad,TA Boult,48,1,18,0,0,0
Eden Gardens,Sunrisers Hyderabad,UT Yadav,109,0.666666667,14,1,0,2
Eden Gardens,Sunrisers Hyderabad,YK Pathan,36,0.333333333,4,0,0,0
Feroz Shah Kotla,Chennai Super Kings,A Mishra,42,1,,,,
Feroz Shah Kotla,Chennai Super Kings,AB Agarkar,26,0,,,,
Feroz Shah Kotla,Chennai Super Kings,DP Nannes,54,2,6,1,1,1
Feroz Shah Kotla,Chennai Super Kings,GD McGrath,48,1,13,0,0,0
Feroz Shah Kotla,Chennai Super Kings,Harbhajan Singh,24,0,10,0,0,0
Feroz Shah Kotla,Chennai Super Kings,IK Pathan,48,1.5,14.5,0.5,0,1
Feroz Shah Kotla,Chennai Super Kings,JD Unadkat,44,0,18,0,0,0
Feroz Shah Kotla,Chennai Super Kings,KA Pollard,18,1,,,,
Feroz Shah Kotla,Chennai Super Kings,KP Pietersen,12,1,,,,
Feroz Shah Kotla,Chennai Super Kings,LR Shukla,50,1,,,,
Feroz Shah Kotla,Chennai Super Kings,M Morkel,51,2,10.5,1,1,1
Feroz Shah Kotla,Chennai Super Kings,MG Johnson,24,0,15,0,0,0
Feroz Shah Kotla,Chennai Super Kings,MM Patel,18,0,12,0,0,0
Feroz Shah Kotla,Chennai Super Kings,Mohammad Asif,48,1,15,0,0,0
Feroz Shah Kotla,Chennai Super Kings,Mohammed Shami,50,0,15,0,0,0
Feroz Shah Kotla,Chennai Super Kings,PJ Sangwan,98,1,11.5,0,0,0
Feroz Shah Kotla,Chennai Super Kings,PP Ojha,12,0,,,,
Feroz Shah Kotla,Chennai Super Kings,R Bhatia,24,0,18,0,0,0
Feroz Shah Kotla,Chennai Super Kings,RE van der Merwe,24,1,,,,
Feroz Shah Kotla,Chennai Super Kings,S Nadeem,85,0,5.5,0,0,0
Feroz Shah Kotla,Chennai Super Kings,SL Malinga,24,0,10,0,0,0
Feroz Shah Kotla,Chennai Super Kings,Shoaib Malik,30,0,,,,
Feroz Shah Kotla,Chennai Super Kings,TM Dilshan,26,1,,,,
Feroz Shah Kotla,Chennai Super Kings,UT Yadav,97,1.333333333,14,0,0,0
Feroz Shah Kotla,Chennai Super Kings,V Sehwag,30,0,,,,
Feroz Shah Kotla,Chennai Super Kings,VY Mahesh,50,2,26,0,0,0
Feroz Shah Kotla,Chennai Super Kings,WD Parnell,48,1,10,0,0,0
Feroz Shah Kotla,Deccan Chargers,A Mishra,72,3,4,0,0,0
Feroz Shah Kotla,Deccan Chargers,A Nehra,24,2,22,1,1,1
Feroz Shah Kotla,Deccan Chargers,AB Agarkar,19,0,15,0,0,0
Feroz Shah Kotla,Deccan Chargers,AB Dinda,24,1,20,0,0,0
Feroz Shah Kotla,Deccan Chargers,DP Nannes,24,0,10,0,0,0
Feroz Shah Kotla,Deccan Chargers,GD McGrath,48,2,33,1,1,1
Feroz Shah Kotla,Deccan Chargers,IK Pathan,49,0.5,13.5,0.5,0,1
Feroz Shah Kotla,Deccan Chargers,JR Hopes,24,1,,,,
Feroz Shah Kotla,Deccan Chargers,KP Pietersen,13,0,7,0,0,0
Feroz Shah Kotla,Deccan Chargers,M Morkel,50,2,12,0.5,0,1
Feroz Shah Kotla,Deccan Chargers,MF Maharoof,48,2,10,0,0,0
Feroz Shah Kotla,Deccan Chargers,Mohammad Asif,52,0,28,0,0,0
Feroz Shah Kotla,Deccan Chargers,PD Collingwood,18,1,,,,
Feroz Shah Kotla,Deccan Chargers,R Bhatia,48,0,,,,
