venue,bowling_team,batsmen,strikerate_20,avg_runs_20,min_runs_20,max_runs_20,avg_wickets_20,min_wickets_20,max_wickets_20,avg_runs_6,min_runs_6,max_runs_6,avg_wickets_6,min_wickets_6,max_wickets_6
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Punjab Kings,SS Tiwary,106.25,17,17,17,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Punjab Kings,TG Southee,33.33,1,1,1,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Punjab Kings,UBT Chand,0,0,0,0,1,1,1,0,0,0,1,1,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Punjab Kings,UT Khawaja,96.83,30,30,30,1,1,1,15,15,15,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rajasthan Royals,A Ashish Reddy,144.44,13,13,13,0,0,0,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rajasthan Royals,DA Warner,140.02,21,21,21,0,0,0,21,21,21,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rajasthan Royals,EJG Morgan,89.97,27,27,27,1,1,1,0,0,0,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rajasthan Royals,KL Rahul,40,2,2,2,2,2,2,2,2,2,2,2,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rajasthan Royals,NV Ojha,73.5,25,25,25,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rajasthan Royals,RS Bopara,121.03,23,23,23,0,0,0,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rajasthan Royals,S Dhawan,76.92,10,10,10,1,1,1,10,10,10,1,1,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,AR Patel,33.33,1,1,1,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,B Kumar,50,1,1,1,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,BB Sran,100,1,1,1,0,0,0,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,CH Morris,172.76,38,38,38,0,0,0,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,DA Miller,140,7,7,7,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,DA Warner,73.34,11,11,11,1,1,1,11,11,11,1,1,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,DJ Hooda,280,14,14,14,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,F Behardien,100,5,5,5,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,Gurkeerat Singh,169.95,51,51,51,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,HM Amla,99.97,30,30,30,1,1,1,24,24,24,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,JP Duminy,99.98,14,14,14,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,KJ Abbott,100,1,1,1,0,0,0,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,KK Nair,95.39,41,41,41,1,1,1,16,16,16,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,KS Williamson,81.99,32,32,32,1,1,1,3,3,3,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,M Vijay,143.93,59,59,59,1,1,1,24,24,24,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,MC Henriques,125,10,10,10,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,NM Coulter-Nile,66.66,2,2,2,0,0,0,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,NV Ojha,140,7,7,7,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,Q de Kock,25,2,2,2,1,1,1,2,2,2,1,1,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,R Dhawan,275,11,11,11,0,0,0,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,RR Pant,44.44,4,4,4,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,S Dhawan,122.19,33,33,33,1,1,1,18,18,18,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,SS Iyer,80,8,8,8,1,1,1,8,8,8,1,1,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,SV Samson,76.9,10,10,10,1,1,1,2,2,2,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,WP Saha,75,3,3,3,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,Yuvraj Singh,109.51,23,23,23,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,A Mishra,33.33,1,1,1,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,A Zampa,0,0,0,0,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,AD Mathews,136.36,15,15,15,0,0,0,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,AD Russell,190,19,19,19,1,1,1,0,0,0,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,AM Rahane,101.68,31,0,62,1,1,1,11.5,0,23,0.5,0,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,AR Patel,0,0,0,0,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,AT Rayudu,100.01,6,6,6,1,1,1,6,6,6,1,1,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,C Munro,107.68,14,14,14,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,G Gambhir,44.44,4,4,4,1,1,1,4,4,4,1,1,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,GJ Bailey,85,34,34,34,1,1,1,13,13,13,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,HH Pandya,43.75,7,7,7,1,1,1,2,2,2,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Harbhajan Singh,80.79,21,21,21,0,0,0,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,JC Buttler,100,2,2,2,1,1,1,2,2,2,1,1,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,JJ Bumrah,66.66,6,6,6,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,JP Duminy,122.7,54,54,54,1,1,1,9,9,9,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,JP Faulkner,120,6,6,6,0,0,0,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,KA Pollard,84.61,11,11,11,1,1,1,0,0,0,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,KH Pandya,154.54,17,17,17,1,1,1,17,17,17,1,1,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,KK Nair,20,1,1,1,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,KM Jadhav,158.31,19,19,19,0,0,0,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,KMA Paul,125,5,5,5,0,0,0,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,MA Agarwal,33.33,1,1,1,1,1,1,1,1,1,1,1,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,MJ McClenaghan,88.88,8,8,8,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,MK Pandey,137.55,33,33,33,0,0,0,8,8,8,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,MS Dhoni,150,30,30,30,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,NLTC Perera,121.41,17,17,17,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,PA Patel,0,0,0,0,1,1,1,0,0,0,1,1,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,PP Shaw,140,56,56,56,1,1,1,39,39,39,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,R Ashwin,116,29,29,29,1,1,1,0,0,0,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,RG Sharma,166.66,5,5,5,1,1,1,5,5,5,1,1,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,RR Pant,222.75,49,49,49,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,RV Uthappa,154.58,34,34,34,1,1,1,34,34,34,1,1,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,S Dhawan,99.99,17,17,17,1,1,1,15,15,15,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,SA Yadav,100,2,2,2,0,0,0,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,SE Rutherford,74.99,9,9,9,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,SPD Smith,118.17,13,13,13,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,SS Iyer,128.35,34,8,60,1,1,1,26,26,26,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,SS Tiwary,90,9,9,9,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,STR Binny,114.26,16,16,16,0,0,0,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,SV Samson,83.89,26,26,26,1,1,1,9,9,9,0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,TG Southee,75,3,3,3,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,UT Khawaja,137.5,11,11,11,1,1,1,11,11,11,1,1,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,YK Pathan,85.72,6,6,6,1,1,1,,,,,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Yuvraj Singh,69.21,9,9,9,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,AB de Villiers,102.61,19.5,0,39,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,AJ Finch,77.29,8.5,2,15,1,1,1,8.5,2,15,1,1,1
Dubai International Cricket Stadium,Chennai Super Kings,AM Nayar,62.5,5,5,5,1,1,1,5,5,5,1,1,1
Dubai International Cricket Stadium,Chennai Super Kings,AM Rahane,124.99,15,15,15,1,1,1,15,15,15,1,1,1
Dubai International Cricket Stadium,Chennai Super Kings,AP Tare,121.03,23,23,23,1,1,1,23,23,23,1,1,1
Dubai International Cricket Stadium,Chennai Super Kings,AT Rayudu,50,1,1,1,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,Abdul Samad,133.33,8,8,8,0,0,0,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,Abhishek Sharma,119.25,31,31,31,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,CH Morris,40,2,2,2,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,CJ Anderson,125.85,39,39,39,1,1,1,5,5,5,0,0,0
Dubai International Cricket Stadium,Chennai Super Kings,CM Gautam,175,7,7,7,0,0,0,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,D Padikkal,91.75,27.5,22,33,1,1,1,19.5,17,22,0,0,0
Dubai International Cricket Stadium,Chennai Super Kings,DA Warner,86.12,18.5,9,28,1,1,1,11,9,13,0.5,0,1
Dubai International Cricket Stadium,Chennai Super Kings,DS Kulkarni,147.35,28,28,28,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,EJG Morgan,124.98,15,15,15,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,GJ Maxwell,157.14,11,11,11,0,0,0,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,Gurkeerat Singh,100,2,2,2,0,0,0,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,Harbhajan Singh,0,0,0,0,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,JM Bairstow,79.33,11.5,0,23,1,1,1,6.5,0,13,0.5,0,1
Dubai International Cricket Stadium,Chennai Super Kings,JP Faulkner,200,4,4,4,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,KA Pollard,109.08,12,12,12,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,KD Karthik,210,21,21,21,0,0,0,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,KL Rahul,121.09,63,63,63,1,1,1,24,24,24,0,0,0
Dubai International Cricket Stadium,Chennai Super Kings,KS Williamson,126.85,33,9,57,1,1,1,12,12,12,0,0,0
Dubai International Cricket Stadium,Chennai Super Kings,MA Agarwal,123.8,26,26,26,1,1,1,21,21,21,0,0,0
Dubai International Cricket Stadium,Chennai Super Kings,MEK Hussey,14.29,1,1,1,1,1,1,1,1,1,1,1,1
Dubai International Cricket Stadium,Chennai Super Kings,MK Pandey,126.92,16.5,4,29,1,1,1,15.5,4,27,0.5,0,1
Dubai International Cricket Stadium,Chennai Super Kings,MM Ali,50,1,1,1,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,MP Stoinis,166.66,5,5,5,0,0,0,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,Mandeep Singh,168.75,27,27,27,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,N Pooran,194.08,33,33,33,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,N Rana,140.26,87,87,87,1,1,1,24,24,24,0,0,0
Dubai International Cricket Stadium,Chennai Super Kings,PK Garg,139.51,33.5,16,51,0.5,0,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,PP Shaw,145.44,64,64,64,1,1,1,27,27,27,0,0,0
Dubai International Cricket Stadium,Chennai Super Kings,PV Tambe,100,2,2,2,0,0,0,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,R Bhatia,109.5,23,23,23,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,RA Tripathi,150,3,3,3,0,0,0,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,RG Sharma,121.98,50,50,50,1,1,1,2,2,2,0,0,0
Dubai International Cricket Stadium,Chennai Super Kings,RK Singh,99.99,11,11,11,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,RR Pant,142.33,37,37,37,0,0,0,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,Rashid Khan,155.55,14,14,14,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,S Dhawan,129.57,35,35,35,1,1,1,7,7,7,0,0,0
Dubai International Cricket Stadium,Chennai Super Kings,S Dube,146.68,22,22,22,0,0,0,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,S Nadeem,100,5,5,5,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,SN Khan,140,14,14,14,0,0,0,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,SP Narine,100,7,7,7,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,SPD Smith,95,19,19,19,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,SR Watson,116.67,7,7,7,1,1,1,1,1,1,0,0,0
Dubai International Cricket Stadium,Chennai Super Kings,SS Iyer,113.09,26,26,26,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,STR Binny,72.72,8,8,8,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,SV Samson,100,16,16,16,1,1,1,16,16,16,0,0,0
Dubai International Cricket Stadium,Chennai Super Kings,Sandeep Sharma,50,1,1,1,0,0,0,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,Shubman Gill,152.92,26,26,26,1,1,1,24,24,24,0,0,0
Dubai International Cricket Stadium,Chennai Super Kings,T Natarajan,0,0,0,0,0,0,0,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,TG Southee,100,4,4,4,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,V Kohli,137.2,70,50,90,0.5,0,1,7.5,4,11,0,0,0
Dubai International Cricket Stadium,Chennai Super Kings,V Shankar,171.44,12,12,12,1,1,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,Washington Sundar,124.98,7.5,5,10,0.5,0,1,,,,,,
Dubai International Cricket Stadium,Chennai Super Kings,Z Khan,233.33,7,7,7,0,0,0,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,AB de Villiers,150.01,9,9,9,1,1,1,9,9,9,1,1,1
Dubai International Cricket Stadium,Delhi Capitals,AJ Finch,144.3,50.5,13,88,0.5,0,1,15.5,13,18,0.5,0,1
Dubai International Cricket Stadium,Delhi Capitals,BA Stokes,117.2,41,41,41,1,1,1,25,25,25,0,0,0
Dubai International Cricket Stadium,Delhi Capitals,CH Gayle,207.14,29,29,29,1,1,1,29,29,29,1,1,1
Dubai International Cricket Stadium,Delhi Capitals,CJ Jordan,83.33,5,5,5,1,1,1,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,D Padikkal,66.68,4,4,4,1,1,1,4,4,4,1,1,1
Dubai International Cricket Stadium,Delhi Capitals,DA Warner,157,62,58,66,0.5,0,1,54,54,54,0,0,0
Dubai International Cricket Stadium,Delhi Capitals,DJ Hooda,68.23,15,15,15,0,0,0,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,F du Plessis,119.5,43,43,43,2,2,2,9,9,9,0,0,0
Dubai International Cricket Stadium,Delhi Capitals,G Gambhir,0,0,0,0,1,1,1,0,0,0,1,1,1
Dubai International Cricket Stadium,Delhi Capitals,GJ Maxwell,106.51,16.5,1,32,1,1,1,1,1,1,0,0,0
Dubai International Cricket Stadium,Delhi Capitals,HH Pandya,210.51,20,3,37,0.5,0,1,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,I Udana,33.33,1,1,1,1,1,1,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,Ishan Kishan,164.87,53.33333333,33,72,0,0,0,22,22,22,0,0,0
Dubai International Cricket Stadium,Delhi Capitals,JC Archer,25,1,1,1,1,1,1,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,JC Buttler,244.43,22,22,22,1,1,1,22,22,22,1,1,1
Dubai International Cricket Stadium,Delhi Capitals,JDS Neesham,125,10,10,10,0,0,0,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,JH Kallis,0,0,0,0,1,1,1,0,0,0,1,1,1
Dubai International Cricket Stadium,Delhi Capitals,K Gowtham,142.85,20,20,20,1,1,1,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,KA Pollard,150.01,4.5,0,9,1,1,1,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,KH Pandya,127.27,7,1,13,0.5,0,1,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,KK Nair,33.33,1,1,1,1,1,1,1,1,1,1,1,1
Dubai International Cricket Stadium,Delhi Capitals,KL Rahul,118.71,19,15,23,1.5,1,2,19,15,23,1.5,1,2
Dubai International Cricket Stadium,Delhi Capitals,KM Jadhav,118.22,26,26,26,1,1,1,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,KS Williamson,110,11,11,11,0,0,0,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,M Vijay,66.68,10,10,10,1,1,1,10,10,10,1,1,1
Dubai International Cricket Stadium,Delhi Capitals,MA Agarwal,132.43,47,5,89,0.5,0,1,5,5,5,0,0,0
Dubai International Cricket Stadium,Delhi Capitals,MK Pandey,112.24,46,44,48,0.5,0,1,16,16,16,0,0,0
Dubai International Cricket Stadium,Delhi Capitals,MM Ali,84.6,11,11,11,1,1,1,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,MS Dhoni,124.98,15,15,15,1,1,1,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,Mohammed Siraj,125,5,5,5,1,1,1,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,N Pooran,165.59,26.5,0,53,2,2,2,2,0,4,1.5,1,2
Dubai International Cricket Stadium,Delhi Capitals,NA Saini,99.99,12,12,12,0,0,0,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,Q de Kock,130.41,28.66666667,20,40,1,1,1,24.66666667,16,38,0.333333333,0,1
Dubai International Cricket Stadium,Delhi Capitals,R Parag,50,1,1,1,0,0,0,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,R Tewatia,73.65,14,14,14,0,0,0,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,RA Jadeja,109.08,12,12,12,1,1,1,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,RD Gaikwad,50,5,5,5,0,0,0,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,RG Sharma,130.71,34,0,68,1.5,1,2,12,0,24,0.5,0,1
Dubai International Cricket Stadium,Delhi Capitals,RV Uthappa,124.3,43.5,32,55,1.5,1,2,5,5,5,0,0,0
Dubai International Cricket Stadium,Delhi Capitals,S Dhawan,143.49,33,33,33,1,1,1,33,33,33,0,0,0
Dubai International Cricket Stadium,Delhi Capitals,S Dube,91.65,11,11,11,1,1,1,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,S Gopal,150,6,6,6,1,1,1,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,SA Yadav,125.07,22.5,8,51,0.25,0,1,17.5,13,22,0,0,0
Dubai International Cricket Stadium,Delhi Capitals,SM Curran,50,1,1,1,0,0,0,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,SN Khan,99.98,12,12,12,1,1,1,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,SPD Smith,25,1,1,1,1,1,1,1,1,1,1,1,1
Dubai International Cricket Stadium,Delhi Capitals,SR Watson,87.5,14,14,14,1,1,1,14,14,14,1,1,1
Dubai International Cricket Stadium,Delhi Capitals,SV Samson,138.94,25,25,25,1,1,1,2,2,2,0,0,0
Dubai International Cricket Stadium,Delhi Capitals,Shakib Al Hasan,136.42,30,30,30,0,0,0,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,V Kohli,102.35,43,43,43,1,1,1,13,13,13,0,0,0
Dubai International Cricket Stadium,Delhi Capitals,WP Saha,193.29,87,87,87,1,1,1,22,22,22,0,0,0
Dubai International Cricket Stadium,Delhi Capitals,Washington Sundar,154.53,17,17,17,1,1,1,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,YK Pathan,122.21,11,11,11,1,1,1,,,,,,
Dubai International Cricket Stadium,Delhi Capitals,YS Chahal,0,0,0,0,0,0,0,,,,,,
Dubai International Cricket Stadium,Kolkata Knight Riders,AS Rajpoot,140,7,7,7,0,0,0,,,,,,
Dubai International Cricket Stadium,Kolkata Knight Riders,AT Rayudu,180.94,38,38,38,1,1,1,,,,,,
Dubai International Cricket Stadium,Kolkata Knight Riders,BA Stokes,149.99,18,18,18,1,1,1,18,18,18,1,1,1
Dubai International Cricket Stadium,Kolkata Knight Riders,JC Archer,92.29,6,6,6,1,1,1,,,,,,
Dubai International Cricket Stadium,Kolkata Knight Riders,JC Buttler,143.55,28,21,35,1,1,1,14,7,21,0,0,0
Dubai International Cricket Stadium,Kolkata Knight Riders,JD Unadkat,69.21,9,9,9,1,1,1,,,,,,
Dubai International Cricket Stadium,Kolkata Knight Riders,JDS Neesham,72.73,8,8,8,1,1,1,,,,,,
Dubai International Cricket Stadium,Kolkata Knight Riders,JP Duminy,140.52,52,52,52,0,0,0,,,,,,
Dubai International Cricket Stadium,Kolkata Knight Riders,KD Karthik,140,56,56,56,1,1,1,14,14,14,0,0,0
Dubai International Cricket Stadium,Kolkata Knight Riders,Kartik Tyagi,66.66,2,2,2,1,1,1,,,,,,
Dubai International Cricket Stadium,Kolkata Knight Riders,LRPL Taylor,66.66,6,6,6,1,1,1,6,6,6,0,0,0
Dubai International Cricket Stadium,Kolkata Knight Riders,M Vijay,0,0,0,0,1,1,1,0,0,0,1,1,1
Dubai International Cricket Stadium,Kolkata Knight Riders,MA Agarwal,173.34,26,26,26,1,1,1,26,26,26,1,1,1
Dubai International Cricket Stadium,Kolkata Knight Riders,MK Tiwary,133.34,8,8,8,1,1,1,,,,,,
Dubai International Cricket Stadium,Kolkata Knight Riders,MS Dhoni,25,1,1,1,1,1,1,,,,,,
Dubai International Cricket Stadium,Kolkata Knight Riders,R Parag,7.69,0.5,0,1,1,1,1,0,0,0,1,1,1
Dubai International Cricket Stadium,Kolkata Knight Riders,R Tewatia,121.62,22.5,14,31,1,1,1,2,2,2,0,0,0
Dubai International Cricket Stadium,Kolkata Knight Riders,RA Jadeja,258.32,31,31,31,0,0,0,,,,,,
