venue,innings,batting_team,bowling_team,batsmen,bowler,total_runs
M.Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"MK Tiwary, G Gambhir, EJG Morgan, JH Kallis, YK Pathan","S Aravind, CK Langeveldt, Z Khan",33
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"LA Pomersbach, CH Gayle, V Kohli, AB de Villiers","B Lee, JD Unadkat, JH Kallis",65
"Wankhede Stadium, Mumbai",1,Deccan Chargers,Mumbai Indians,"S Sohal, KC Sangakkara, MJ Lumb","MM Patel, Harbhajan Singh, SL Malinga, DS Kulkarni",32
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Deccan Chargers,"A Symonds, AT Rayudu, RG Sharma, AC Blizzard, SR Tendulkar","PP Ojha, JP Duminy, I Sharma",26
Himachal Pradesh Cricket Association Stadium,1,Punjab Kings,Delhi Capitals,"SE Marsh, AC Gilchrist, PC Valthaty","IK Pathan, AM Salvi, M Morkel, VR Aaron",43
Himachal Pradesh Cricket Association Stadium,2,Delhi Capitals,Punjab Kings,"NV Ojha, DA Warner","P Kumar, SJ Srivastava, RJ Harris",42
Holkar Cricket Stadium,1,Rajasthan Royals,Kochi Tuskers Kerala,"AL Menaria, FY Fazal, AM Rahane, R Dravid, SR Watson","RP Singh, S Sreesanth",32
Holkar Cricket Stadium,2,Kochi Tuskers Kerala,Rajasthan Royals,"BB McCullum, PA Patel, DPMD Jayawardene, BJ Hodge","ND Doshi, SW Tait, JDP Oram, AA Chavan",87
Dr DY Patil Sports Academy,1,Pune Warriors,Deccan Chargers,"JD Ryder, SC Ganguly, MK Pandey, RV Uthappa","DW Steyn, JP Duminy, DT Christian, I Sharma",39
Dr DY Patil Sports Academy,2,Deccan Chargers,Pune Warriors,"S Sohal, S Dhawan","MR Marsh, WD Parnell, B Kumar, R Sharma",57
Himachal Pradesh Cricket Association Stadium,1,Punjab Kings,Royal Challengers Bangalore,"SE Marsh, AC Gilchrist, PC Valthaty","CH Gayle, CK Langeveldt, JJ van der Wath, S Aravind",30
Himachal Pradesh Cricket Association Stadium,2,Royal Challengers Bangalore,Punjab Kings,"SS Tiwary, AB de Villiers, CH Gayle, V Kohli","P Kumar, SJ Srivastava, RJ Harris",34
MA Chidambaram Stadium,1,Chennai Super Kings,Kochi Tuskers Kerala,"MEK Hussey, M Vijay, SK Raina","M Muralitharan, RP Singh, S Sreesanth",41
MA Chidambaram Stadium,2,Kochi Tuskers Kerala,Chennai Super Kings,"BB McCullum, PA Patel, Y Gnaneswara Rao","R Ashwin, DE Bollinger, SB Jakati",40
Dr DY Patil Sports Academy,1,Pune Warriors,Kolkata Knight Riders,"JD Ryder, SC Ganguly, CJ Ferguson, MK Pandey","B Lee, Iqbal Abdulla, JH Kallis, YK Pathan",29
Dr DY Patil Sports Academy,2,Kolkata Knight Riders,Pune Warriors,"MK Tiwary, G Gambhir, SP Goswami","AC Thomas, WD Parnell, B Kumar, R Sharma",44
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Rajasthan Royals,"SR Tendulkar, RG Sharma, AT Rayudu, TL Suman","SR Watson, AA Chavan",26
"Wankhede Stadium, Mumbai",2,Rajasthan Royals,Mumbai Indians,"R Dravid, SR Watson","MM Patel, Harbhajan Singh, SL Malinga, DS Kulkarni",52
Himachal Pradesh Cricket Association Stadium,1,Deccan Chargers,Punjab Kings,"DB Ravi Teja, S Dhawan","P Kumar, RJ Harris, BA Bhatt",58
Himachal Pradesh Cricket Association Stadium,2,Punjab Kings,Deccan Chargers,"SE Marsh, KD Karthik, AC Gilchrist, PC Valthaty","Anand Rajan, DW Steyn, JP Duminy, PP Ojha",45
Feroz Shah Kotla,1,Delhi Capitals,Pune Warriors,"MS Wade, NV Ojha, DA Warner","JP Faulkner, AC Thomas, SS Mundhe",33
M.Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,"M Vijay, SK Raina, S Badrinath, MEK Hussey, WP Saha","S Aravind, Z Khan, DL Vettori",23
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,"AB de Villiers, CH Gayle, V Kohli","R Ashwin, DE Bollinger",44
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,"MK Tiwary, G Gambhir, JH Kallis, SP Goswami","Harbhajan Singh, SL Malinga, AN Ahmed, RW Price",46
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,"Harbhajan Singh, SR Tendulkar, TL Suman","B Lee, L Balaji, Shakib Al Hasan, Iqbal Abdulla",54
"Wankhede Stadium, Mumbai",1,Royal Challengers Bangalore,Chennai Super Kings,"CH Gayle, MA Agarwal, V Kohli","R Ashwin, DE Bollinger, JA Morkel",44
"Wankhede Stadium, Mumbai",2,Chennai Super Kings,Royal Challengers Bangalore,"MEK Hussey, M Vijay, S Badrinath, SK Raina","S Aravind, A Mithun, Z Khan",25
"Wankhede Stadium, Mumbai",1,Kolkata Knight Riders,Mumbai Indians,"SP Goswami, MK Tiwary, G Gambhir, RN ten Doeschate, JH Kallis, YK Pathan","DS Kulkarni, Harbhajan Singh, SL Malinga, MM Patel",25
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Kolkata Knight Riders,"AC Blizzard, SR Tendulkar","B Lee, YK Pathan, Shakib Al Hasan, Iqbal Abdulla",62
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"CH Gayle, MA Agarwal","MM Patel, Harbhajan Singh, SL Malinga, AN Ahmed",68
MA Chidambaram Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"AC Blizzard, Harbhajan Singh, SR Tendulkar, RG Sharma","S Aravind, A Mithun, Z Khan, CH Gayle",52
MA Chidambaram Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,"MEK Hussey, M Vijay","J Syed Mohammad, S Aravind, Z Khan, CH Gayle",56
MA Chidambaram Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,"AB de Villiers, CH Gayle, MA Agarwal, V Kohli","R Ashwin, DE Bollinger, JA Morkel",47
MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,"DJ Bravo, SK Raina, M Vijay, F du Plessis","Harbhajan Singh, SL Malinga, AN Ahmed, JEC Franklin",42
MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,"SR Tendulkar, RE Levi","R Ashwin, DE Bollinger, RA Jadeja, JA Morkel",53
Eden Gardens,1,Kolkata Knight Riders,Delhi Capitals,"DB Das, G Gambhir, MK Tiwary, BB McCullum, JH Kallis, YK Pathan","IK Pathan, GJ Maxwell, RE van der Merwe, M Morkel, UT Yadav",46
Eden Gardens,2,Delhi Capitals,Kolkata Knight Riders,"V Sehwag, AJ Finch","B Lee, M de Lange, JH Kallis, Iqbal Abdulla",48
"Wankhede Stadium, Mumbai",1,Pune Warriors,Mumbai Indians,"CJ Ferguson, SC Ganguly, MK Pandey, WD Parnell, RV Uthappa","MM Patel, Harbhajan Singh, SL Malinga, PP Ojha",30
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Pune Warriors,"KD Karthik, RE Levi, AT Rayudu, RG Sharma, JEC Franklin","M Kartik, AB Dinda, WD Parnell, MN Samuels",27
Sawai Mansingh Stadium,1,Rajasthan Royals,Punjab Kings,"R Dravid, AM Rahane","P Kumar, JP Faulkner, PP Chawla",57
Sawai Mansingh Stadium,2,Punjab Kings,Rajasthan Royals,"SE Marsh, PC Valthaty, AM Nayar, AC Gilchrist","A Singh, SK Trivedi, J Botha, KK Cooper",45
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Capitals,"AB McDonald, V Kohli, CA Pujara","IK Pathan, M Morkel, UT Yadav, DAJ Bracewell",46
M.Chinnaswamy Stadium,2,Delhi Capitals,Royal Challengers Bangalore,"V Sehwag, AJ Finch, NV Ojha","AB McDonald, R Vinay Kumar, Z Khan",46
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Chennai Super Kings,Deccan Chargers,"F du Plessis, M Vijay, S Badrinath, SK Raina","DW Steyn, MS Gony, DT Christian, Ankit Sharma",44
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Deccan Chargers,Chennai Super Kings,"PA Patel, S Dhawan, DJ Harris","R Ashwin, DE Bollinger, JA Morkel",45
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"R Dravid, SP Goswami, AM Rahane","B Lee, SP Narine, JH Kallis, Iqbal Abdulla",37
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"DB Das, G Gambhir, MK Tiwary, BB McCullum, JH Kallis, YK Pathan","A Singh, KK Cooper, AA Chavan",27
Subrata Roy Sahara Stadium,1,Pune Warriors,Punjab Kings,"JD Ryder, RV Uthappa, SC Ganguly, MN Samuels","P Kumar, JP Faulkner, AD Mascarenhas",38
Subrata Roy Sahara Stadium,2,Punjab Kings,Pune Warriors,"Mandeep Singh, PC Valthaty, AM Nayar, AC Gilchrist","AB Dinda, A Nehra, R Sharma, MN Samuels",19
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Deccan Chargers,Mumbai Indians,"PA Patel, DT Christian, S Dhawan, B Chipli","MM Patel, Harbhajan Singh, SL Malinga, PP Ojha",45
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Mumbai Indians,Deccan Chargers,"RG Sharma, RE Levi, AT Rayudu, TL Suman","DW Steyn, DT Christian, Ankit Sharma",29
M.Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"G Gambhir, JH Kallis","R Vinay Kumar, Z Khan, M Muralitharan, HV Patel",60
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"CH Gayle, SS Tiwary, AB de Villiers, V Kohli, CA Pujara","B Lee, L Balaji, JH Kallis",20
Feroz Shah Kotla,1,Chennai Super Kings,Delhi Capitals,"SK Raina, S Badrinath, F du Plessis","IK Pathan, M Morkel, UT Yadav",41
Feroz Shah Kotla,2,Delhi Capitals,Chennai Super Kings,"V Sehwag, KP Pietersen, NV Ojha","R Ashwin, DE Bollinger, JA Morkel",50
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Rajasthan Royals,"RG Sharma, RE Levi, TL Suman","A Singh, KK Cooper, AA Chavan",54
"Wankhede Stadium, Mumbai",2,Rajasthan Royals,Mumbai Indians,"OA Shah, R Dravid, SP Goswami, AM Rahane","MM Patel, PP Ojha, SL Malinga, JEC Franklin",44
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"CH Gayle, MA Agarwal, V Kohli","R Ashwin, DE Bollinger, JA Morkel",56
MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"M Vijay, F du Plessis","RR Bhatkal, R Vinay Kumar, Z Khan, DL Vettori",52
"Punjab Cricket Association Stadium, Mohali",1,Pune Warriors,Punjab Kings,"JD Ryder, AD Mathews, SC Ganguly, MN Samuels, RV Uthappa","P Kumar, P Awana, AD Mascarenhas",29
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Pune Warriors,"SE Marsh, AC Gilchrist, PC Valthaty","AB Dinda, AD Mathews, A Nehra, MN Samuels",38
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,"R Dravid, AM Rahane","L Balaji, JH Kallis, SP Narine",45
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,"MS Bisla, G Gambhir, JH Kallis","A Singh, J Botha, AA Chavan",36
Feroz Shah Kotla,1,Deccan Chargers,Delhi Capitals,"S Dhawan, PA Patel, KC Sangakkara","IK Pathan, M Morkel, KP Pietersen, AB Agarkar",50
Feroz Shah Kotla,2,Delhi Capitals,Deccan Chargers,"NV Ojha, LRPL Taylor, V Sehwag, KP Pietersen, DPMD Jayawardene","DW Steyn, DT Christian, V Pratap Singh",34
Subrata Roy Sahara Stadium,1,Chennai Super Kings,Pune Warriors,"M Vijay, F du Plessis","M Kartik, MN Samuels, R Sharma, AB Dinda, A Nehra",43
Subrata Roy Sahara Stadium,2,Pune Warriors,Chennai Super Kings,"JD Ryder, SC Ganguly, RV Uthappa","KMDN Kulasekara, DJ Bravo, R Ashwin, JA Morkel",56
Eden Gardens,1,Punjab Kings,Kolkata Knight Riders,"Mandeep Singh, AC Gilchrist, SE Marsh, DJ Hussey","SP Narine, JH Kallis, YK Pathan",26
Eden Gardens,2,Kolkata Knight Riders,Punjab Kings,"MK Tiwary, MS Bisla, G Gambhir, JH Kallis","P Kumar, AD Mascarenhas, BA Bhatt",48
M.Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"R Dravid, AM Rahane","R Vinay Kumar, S Aravind, Z Khan",43
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"CH Gayle, MA Agarwal, V Kohli","A Singh, J Botha, Pankaj Singh",54
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Delhi Capitals,"DJ Jacobs, RG Sharma, RE Levi, AT Rayudu","IK Pathan, M Morkel, S Nadeem",23
"Wankhede Stadium, Mumbai",2,Delhi Capitals,Mumbai Indians,"V Sehwag, KP Pietersen, NV Ojha","MM Patel, CJ McKay, RP Singh",41
Sawai Mansingh Stadium,1,Deccan Chargers,Rajasthan Royals,"S Dhawan, KC Sangakkara","A Singh, J Botha, Pankaj Singh",57
Sawai Mansingh Stadium,2,Rajasthan Royals,Deccan Chargers,"AL Menaria, R Dravid, AM Rahane","Anand Rajan, DW Steyn, DT Christian, Ankit Sharma",62
M.Chinnaswamy Stadium,1,Pune Warriors,Royal Challengers Bangalore,"JD Ryder, RV Uthappa","DL Vettori, TM Dilshan, R Vinay Kumar, Z Khan, HV Patel",58
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Pune Warriors,"TM Dilshan, CH Gayle, MA Agarwal","AB Dinda, A Nehra, B Kumar, MN Samuels",42
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Kolkata Knight Riders,"SE Marsh, PC Valthaty, Mandeep Singh, AC Gilchrist","B Lee, SP Narine, JH Kallis",45
"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Punjab Kings,"BB McCullum, MS Bisla, G Gambhir","P Kumar, PP Chawla, Harmeet Singh, AD Mascarenhas",53
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Capitals,"KC Sangakkara, CL White, S Dhawan, DJ Harris","IK Pathan, AD Russell, M Morkel, VR Aaron",33
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Capitals,Deccan Chargers,"V Sehwag, NV Ojha, DA Warner","TP Sudhindra, MS Gony, A Ashish Reddy, S Dhawan",64
MA Chidambaram Stadium,1,Chennai Super Kings,Pune Warriors,"S Badrinath, F du Plessis","M Kartik, A Nehra, B Kumar, MN Samuels",42
MA Chidambaram Stadium,2,Pune Warriors,Chennai Super Kings,"JD Ryder, SC Ganguly, MK Pandey, RV Uthappa","KMDN Kulasekara, DE Bollinger, R Ashwin",53
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Royal Challengers Bangalore,"SE Marsh, N Saini, PC Valthaty, DJ Hussey","R Vinay Kumar, Z Khan, HV Patel",41
"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Punjab Kings,"CH Gayle, SS Tiwary, MA Agarwal, AB de Villiers, V Kohli","P Kumar, P Awana",36
MA Chidambaram Stadium,1,Rajasthan Royals,Chennai Super Kings,"OA Shah, R Dravid, AM Rahane","KMDN Kulasekara, R Ashwin, DE Bollinger, DJ Bravo",41
MA Chidambaram Stadium,2,Chennai Super Kings,Rajasthan Royals,"S Badrinath, F du Plessis","GB Hogg, AL Menaria, STR Binny, A Singh, KK Cooper",45
Feroz Shah Kotla,1,Pune Warriors,Delhi Capitals,"JD Ryder, SC Ganguly, RV Uthappa","IK Pathan, M Morkel, UT Yadav, S Nadeem",52
Feroz Shah Kotla,2,Delhi Capitals,Pune Warriors,"V Sehwag, KP Pietersen, DPMD Jayawardene","M Kartik, AD Mathews, AC Thomas, A Nehra",49
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Punjab Kings,"SR Tendulkar, JEC Franklin","P Kumar, P Awana, Azhar Mahmood, BA Bhatt",39
"Wankhede Stadium, Mumbai",2,Punjab Kings,Mumbai Indians,"Mandeep Singh, N Saini","MM Patel, PP Ojha, KA Pollard, RP Singh",48
Barabati Stadium,1,Deccan Chargers,Kolkata Knight Riders,"S Dhawan, PA Patel, KC Sangakkara","B Lee, L Balaji, SP Narine, YK Pathan",39
Barabati Stadium,2,Kolkata Knight Riders,Deccan Chargers,"BB McCullum, MS Bisla, G Gambhir","DW Steyn, V Pratap Singh, Ankit Sharma",42
Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"TM Dilshan, MA Agarwal, V Kohli","KK Cooper, Pankaj Singh, A Chandila",37
Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,"R Dravid, AM Rahane","R Vinay Kumar, Z Khan, DL Vettori",48
Subrata Roy Sahara Stadium,1,Pune Warriors,Delhi Capitals,"JD Ryder, SC Ganguly, MK Pandey, RV Uthappa","IK Pathan, M Morkel, UT Yadav",28
Subrata Roy Sahara Stadium,2,Delhi Capitals,Pune Warriors,"V Sehwag, KP Pietersen, DPMD Jayawardene","AC Thomas, A Nehra, LJ Wright",61
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Mumbai Indians,"Mandeep Singh, N Saini, SE Marsh","RJ Peterson, CJ McKay, RP Singh, MM Patel",44
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Punjab Kings,"SR Tendulkar, JEC Franklin","P Kumar, P Awana, BA Bhatt",40
Subrata Roy Sahara Stadium,1,Deccan Chargers,Pune Warriors,"PA Patel, CL White, S Dhawan","AC Thomas, A Nehra, B Kumar, MN Samuels",50
Subrata Roy Sahara Stadium,2,Pune Warriors,Deccan Chargers,"JD Ryder, SC Ganguly, MK Pandey, RV Uthappa","MS Gony, JP Duminy, J Theron, Ankit Sharma",44
Feroz Shah Kotla,1,Delhi Capitals,Mumbai Indians,"V Sehwag, DPMD Jayawardene","R Shukla, SL Malinga, RP Singh",54
Feroz Shah Kotla,2,Mumbai Indians,Delhi Capitals,"SR Tendulkar, KD Karthik, AT Rayudu, AC Blizzard, RG Sharma","IK Pathan, M Morkel, UT Yadav, S Nadeem",49
MA Chidambaram Stadium,1,Punjab Kings,Chennai Super Kings,"Mandeep Singh, SE Marsh","KMDN Kulasekara, R Ashwin, SB Jakati, JA Morkel",43
MA Chidambaram Stadium,2,Chennai Super Kings,Punjab Kings,"SK Raina, S Badrinath, F du Plessis","Bipul Sharma, Azhar Mahmood, P Kumar, P Awana, BA Bhatt",48
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"BB McCullum, G Gambhir","R Vinay Kumar, KP Appanna, Z Khan, DL Vettori",46
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"CH Gayle, TM Dilshan, SS Tiwary, AB de Villiers, V Kohli","B Lee, JH Kallis, SP Narine, YK Pathan",35
Feroz Shah Kotla,1,Delhi Capitals,Rajasthan Royals,"LRPL Taylor, V Sehwag, KP Pietersen, DPMD Jayawardene","A Singh, Pankaj Singh, AA Chavan, KK Cooper",42
Feroz Shah Kotla,2,Rajasthan Royals,Delhi Capitals,"R Dravid, AM Rahane","IK Pathan, M Morkel, UT Yadav, S Nadeem",40
"Wankhede Stadium, Mumbai",1,Deccan Chargers,Mumbai Indians,"PA Patel, IR Jaggi, S Dhawan","MM Patel, Harbhajan Singh, SL Malinga, RP Singh",38
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Deccan Chargers,"SR Tendulkar, KD Karthik, RG Sharma, RE Levi","DW Steyn, DT Christian, V Pratap Singh",31
MA Chidambaram Stadium,1,Chennai Super Kings,Kolkata Knight Riders,"SK Raina, MEK Hussey, DJ Bravo, F du Plessis","B Lee, YK Pathan, SP Narine, Iqbal Abdulla",43
MA Chidambaram Stadium,2,Kolkata Knight Riders,Chennai Super Kings,"BB McCullum, G Gambhir, JH Kallis","R Ashwin, JA Morkel, SB Jakati",37
Barabati Stadium,1,Deccan Chargers,Pune Warriors,"PA Patel, KC Sangakkara, CL White, S Dhawan","A Nehra, WD Parnell, B Kumar, MN Samuels",33
Barabati Stadium,2,Pune Warriors,Deccan Chargers,"MJ Clarke, SC Ganguly, MK Pandey","DW Steyn, JP Duminy, V Pratap Singh, Ankit Sharma",48
Sawai Mansingh Stadium,1,Rajasthan Royals,Delhi Capitals,"R Dravid, AM Rahane","IK Pathan, M Morkel, UT Yadav, S Nadeem",56
Sawai Mansingh Stadium,2,Delhi Capitals,Rajasthan Royals,"V Sehwag, KP Pietersen, DPMD Jayawardene","A Singh, Pankaj Singh, AA Chavan, SR Watson",61
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Punjab Kings,"CH Gayle, MA Agarwal, V Kohli","P Kumar, P Awana, RJ Harris",33
M.Chinnaswamy Stadium,2,Punjab Kings,Royal Challengers Bangalore,"Mandeep Singh, N Saini, SE Marsh","AB McDonald, R Vinay Kumar, Z Khan",53
Subrata Roy Sahara Stadium,1,Mumbai Indians,Pune Warriors,"SR Tendulkar, JEC Franklin","M Kartik, WD Parnell, AB Dinda, A Nehra, B Kumar",42
Subrata Roy Sahara Stadium,2,Pune Warriors,Mumbai Indians,"JD Ryder, MJ Clarke, RV Uthappa","MM Patel, Harbhajan Singh, SL Malinga",37
MA Chidambaram Stadium,1,Chennai Super Kings,Deccan Chargers,"SK Raina, M Vijay, F du Plessis","DW Steyn, DT Christian, V Pratap Singh, Ankit Sharma",56
MA Chidambaram Stadium,2,Deccan Chargers,Chennai Super Kings,"PA Patel, CL White, S Dhawan","DJ Bravo, R Ashwin, JA Morkel, BW Hilfenhaus",47
Eden Gardens,1,Kolkata Knight Riders,Pune Warriors,"BB McCullum, G Gambhir","M Kartik, AB Dinda, WD Parnell, B Kumar",68
Eden Gardens,2,Pune Warriors,Kolkata Knight Riders,"MJ Clarke, SPD Smith, MK Pandey, RV Uthappa","M de Lange, Iqbal Abdulla",45
"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,Punjab Kings,"R Dravid, SR Watson, AM Rahane","P Kumar, P Awana, RJ Harris",64
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Rajasthan Royals,"SE Marsh, N Saini, Mandeep Singh, DJ Hussey","SW Tait, J Botha, SR Watson, AA Chavan",33
"Wankhede Stadium, Mumbai",1,Chennai Super Kings,Mumbai Indians,"M Vijay, F du Plessis","RJ Peterson, SL Malinga, RP Singh, MM Patel",52
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Chennai Super Kings,"SR Tendulkar, RG Sharma, JEC Franklin","R Ashwin, JA Morkel, BW Hilfenhaus",46
M.Chinnaswamy Stadium,1,Deccan Chargers,Royal Challengers Bangalore,"S Dhawan, DJ Harris","A Mithun, Z Khan, P Parameswaran",46
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Deccan Chargers,"TM Dilshan, CH Gayle","Anand Rajan, DW Steyn, V Pratap Singh, S Dhawan",46
Feroz Shah Kotla,1,Delhi Capitals,Kolkata Knight Riders,"LRPL Taylor, V Sehwag, DPMD Jayawardene, DA Warner","B Lee, SP Narine, PJ Sangwan, JH Kallis",50
Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Capitals,"BB McCullum, G Gambhir","IK Pathan, M Morkel, UT Yadav, S Nadeem",60
Subrata Roy Sahara Stadium,1,Pune Warriors,Rajasthan Royals,"MJ Clarke, SC Ganguly, RV Uthappa","SW Tait, J Botha, SR Watson, AA Chavan",35
Subrata Roy Sahara Stadium,2,Rajasthan Royals,Pune Warriors,"R Dravid, SR Watson, AM Rahane","M Kartik, A Nehra, WD Parnell, B Kumar",49
"Rajiv Gandhi International Stadium, Uppal",1,Punjab Kings,Deccan Chargers,"Mandeep Singh, SE Marsh","AA Jhunjhunwala, S Dhawan, V Pratap Singh, J Theron",51
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Punjab Kings,"PA Patel, CL White, S Dhawan, DJ Harris","Azhar Mahmood, P Kumar, P Awana, PP Chawla, RR Powar",40
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Royal Challengers Bangalore,"KD Karthik, SR Tendulkar, RG Sharma, JEC Franklin","R Vinay Kumar, Z Khan, HV Patel",25
"Wankhede Stadium, Mumbai",2,Royal Challengers Bangalore,Mumbai Indians,"TM Dilshan, CH Gayle","SL Malinga, RP Singh",35
Sawai Mansingh Stadium,1,Rajasthan Royals,Chennai Super Kings,"STR Binny, R Dravid, SR Watson, AM Rahane","JA Morkel, BW Hilfenhaus",28
Sawai Mansingh Stadium,2,Chennai Super Kings,Rajasthan Royals,"MEK Hussey, M Vijay, SK Raina","Pankaj Singh, SR Watson, SW Tait",36
Subrata Roy Sahara Stadium,1,Royal Challengers Bangalore,Pune Warriors,"TM Dilshan, CH Gayle","AC Thomas, K Upadhyay, B Kumar",66
Subrata Roy Sahara Stadium,2,Pune Warriors,Royal Challengers Bangalore,"MJ Clarke, AP Majumdar, MD Mishra, MK Pandey, RV Uthappa","R Vinay Kumar, KP Appanna, Z Khan, HV Patel",50
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,"SR Tendulkar, RG Sharma, HH Gibbs","B Lee, SP Narine, Shakib Al Hasan",49
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,"MK Tiwary, MS Bisla, G Gambhir, JH Kallis","MM Patel, PP Ojha, SL Malinga",32
MA Chidambaram Stadium,1,Delhi Capitals,Chennai Super Kings,"NV Ojha, V Sehwag, Y Nagar, Y Venugopal Rao, DPMD Jayawardene, DA Warner","JA Morkel, BW Hilfenhaus",27
MA Chidambaram Stadium,2,Chennai Super Kings,Delhi Capitals,"MEK Hussey, M Vijay","M Morkel, UT Yadav, VR Aaron",45
Sawai Mansingh Stadium,1,Rajasthan Royals,Pune Warriors,"R Dravid, SR Watson, AM Rahane","M Kartik, A Nehra, B Kumar, R Sharma",45
Sawai Mansingh Stadium,2,Pune Warriors,Rajasthan Royals,"JD Ryder, AP Majumdar, CJ Ferguson, SC Ganguly, SPD Smith, RV Uthappa","SW Tait, SR Watson, A Chandila",33
"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,Punjab Kings,"PA Patel, S Dhawan","RJ Harris, Azhar Mahmood, P Kumar, P Awana, DJ Hussey",47
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Deccan Chargers,"Mandeep Singh, Azhar Mahmood, N Saini, SE Marsh","AA Jhunjhunwala, TP Sudhindra, DW Steyn, DT Christian",44
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"TM Dilshan, SS Tiwary, CH Gayle, V Kohli","MM Patel, SL Malinga, RP Singh",40
M.Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"KD Karthik, AT Rayudu, RG Sharma, HH Gibbs, SR Tendulkar","R Vinay Kumar, Z Khan, HV Patel",32
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,"BB McCullum, G Gambhir","R Ashwin, SB Jakati, BW Hilfenhaus",50
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,"MEK Hussey, M Vijay","M de Lange, L Balaji, JH Kallis, SP Narine",51
Feroz Shah Kotla,1,Punjab Kings,Delhi Capitals,"Mandeep Singh, N Saini, SE Marsh, DJ Hussey","IK Pathan, Y Venugopal Rao, M Morkel, VR Aaron",47
